Sample ,Thickness(mm),Eg (ev),x=1-(Eg/20)^0.5,n=[(2x+1)/(1-x)]^0.5,n (rounded)
TNC10,1.08,2.95,0.615942713,2.410670998,2.41
TNC10Eu,1,2.93,0.617246816,2.416184836,2.42
TNC10Dy,0.98,3.02,0.611412815,2.391709679,2.4
TNC10EuDy,0.84,2.95,0.615942713,2.410670998,2.41
TNC15,0.96,3.05,0.609487516,2.383739247,2.39
TNC15Eu,1.2,2.88,0.620526681,2.4301634,2.43
TNC15Dy,0.9,3.01,0.612056705,2.394386964,2.39
TNC15EuDy,1.06,2.81,0.625166704,2.450215894,2.45
TNC20,0.83,3.06,0.608847856,2.381102662,2.38
TNC20Eu,0.92,2.89,0.619868444,2.427345181,2.43
TNC20Dy,0.9,2.91,0.618555378,2.421742673,2.44
TNC200EuDy,0.83,2.94,0.61659421,2.413422459,2.41
