Sample ,Thickness(mm),Eg (ev),x=1-(Eg/20)^0.5,n=[(2x+1)/(1-x)]^0.5,n (rounded)
TNZ10Eu,1.002,2.92,0.617900537,2.418958214,2.42
TNZ10Dy,2,2.85,0.622508278,2.438686971,2.44
TNZ10EuDy,1.006,2.56,0.642229124,2.526906194,2.53
TNZ15,2,2.17,0.670606618,2.666017838,2.67
TNZ15Eu,2.021,2.62,0.638060779,2.507724957,2.51
TNZ15Dy,1.01,2.86,0.621846592,2.435834206,2.43
TNZ15EuDy,0.037,3.08,0.607571663,2.375859396,2.37
TNZ20,0.047,3.1,0.606299606,2.370655525,2.37
TNZ20Eu,1.012,2.97,0.614643023,2.405200499,2.41
TNZ20Dy,0.034,2.46,0.649286442,2.56007602,2.56
TNZ20EuDy,1.026,2.96,0.615292319,2.407930371,2.41
