Glass code,Transition:  6H15/2   ®,p,c  (cm/s),h  (cm2g/s),e  (esu),N   (cm-3),RI,par.c.l(nm),2J+1,Integrated Area,RI*(3/RI^2+2)^2,int area/N,Reuced matrix elements
TNZ10Dy,6P7/2 + 4M15/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,345,16,26.8396,0,7.65E-20,(0.0023; 0.5227; 0.0134)
TNZ10Dy,4M19/2 + 4P3/2+6P5/2+4I11/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,366,16,68.83727,0.347140148,1.96E-19,(0.0005; 0.1666; 0.2239)
TNZ10Dy,4I13/2 + 4F7/2 ,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,388,16,24.41414,0.347140148,6.96E-20,(0.0041; 0.0781; 0.0511)
TNZ10Dy,4F3/2 ,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,749,16,1.19549,0.347140148,3.41E-21,(0; 0; 0.0610)
TNZ10Dy,6F5/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,8.10E+02,16,29.23741,0.347140148,8.33E-20,( 0; 0; 0.3452 )
TNZ10Dy,6F7/2 + 6H5/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,9.03E+02,16,24.15423,0.347140148,6.88E-20,( 0; 0.1360; 0.7172 )
TNZ10Dy,6F9/2 +  6H7/2 ,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,1.09E+03,16,36.73855,0.347140148,1.05E-19,( 0; 0.5743; 0.7605 )
TNZ10Dy,6F11/2 + 6H9/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,1.28E+03,16,165.58813,0.347140148,4.72E-19,( 0.9387; 0.8468; 0.4033 )
TNZ10Dy,6H11/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.51E+20,2.44,1.69E+03,16,16.71823,0.347140148,4.76E-20,(0.0923; 0.0366; 0.6410)
TNZ15Dy,6P7/2  ,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,3.53E+02,16,7.24852,0.349990312,1.93E-20,(0.0001; 0.5222; 0.0125)
TNZ15Dy,4F9/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,4.79E+02,16,2.59141,0.349990312,6.91E-21,(0; 0.0047; 0.0295)
TNZ15Dy,4F3/2 ,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,753,16,6.46003,0.349990312,1.72E-20,(0; 0; 0.0610)
TNZ15Dy,6F5/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,8.13E+02,16,74.23506,0.349990312,1.98E-19,( 0; 0; 0.3452 )
TNZ15Dy,6F7/2 +6H5/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,9.01E+02,16,36.69305,0.349990312,9.78E-20,( 0; 0.1360; 0.7172 )
TNZ15Dy,6F9/2 +  6H7/2 ,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,1.09E+03,16,50.4942,0.349990312,1.35E-19,( 0; 0.5743; 0.7605 )
TNZ15Dy,6F11/2 + 6H9/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,1.28E+03,16,245.30154,0.349990312,6.54E-19,( 0.9387; 0.8468; 0.4033 )
TNZ15Dy,6H11/2,3.14,3.00E+10,6.63E-27,4.80E-10,3.75E+20,2.43,1.69E+03,16,7.02E+00,0.349990312,1.87E-20,( 0.0923; 0.0366; 0.6410 )
TNZ20Dy,6F7/2 +   4I13/2   +  4M21/2  +   4K17/2,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,385,16,143.78968,0.314908658,3.59E-19,(0.0150; 0.0931; 0.2268)
TNZ20Dy,4 F3/2,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,7.53E+02,16,3.38E+00,0.314908658,8.43E-21,(0; 0; 0.0610)
TNZ20Dy,6F5/2,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,8.08E+02,16,51.94549,0.314908658,1.30E-19,( 0; 0; 0.3452 )
TNZ20Dy,6F7/2 + 6H5/2,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,9.03E+02,16,45.31421,0.314908658,1.13E-19,( 0; 0.1360; 0.7172 )
TNZ20Dy,6F9/2 +  6H7/2 ,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,1.09E+03,16,76.29115,0.314908658,1.90E-19,( 0; 0.5743; 0.7605 )
TNZ20Dy,6F11/2 + 6H9/2,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,1.28E+03,16,363.05928,0.314908658,9.05E-19,( 0.9387; 0.8468; 0.4033 )
TNZ20Dy,6H11/2,3.14,3.00E+10,6.63E-27,4.80E-10,4.01E+20,2.56,1.70E+03,16,7.32387,0.314908658,1.83E-20,( 0.0923; 0.0366; 0.6410 )
